id,city,stateOrProvince,bathrooms,bedrooms,listPrice,livingArea,yearBuilt,propertySubType,listingCategory,numParkingSpaces,photoscount,grade
1732693,Los Angeles (City),1008,3,3,4995,1825,1924,10,2,2,23,good
1729981,Max Meadows,1036,2,3,199900,1848,1990,10,1,1,36,good
1728452,Newport News,1036,1,3,160000,1028,1955,10,1,,31,good
1722102,Miami,1001,2,3,1750,,1977,70,2,0,26,good
1721770,BALTIMORE,1047,3,3,210000,,1860,70,1,,38,good
1719412,El Paso,1005,3,3,995,1539,,50,2,,15,good
1719408,El Paso,1005,1,2,76000,881,1951,10,1,,15,good
1718807,Decatur,1013,3,3,145000,0,1987,10,1,,29,awesome
1717851,Mt. Vernon,1022,2,3,54500,1513,1920,10,1,,55,awesome
1716717,Galena,1018,4,4,349900,3706,2008,10,1,2,41,good
1716382,Sherwood,1009,3,4,249900,2825,2002,10,1,2,36,good
1716368,Crane Hill,1002,3,3,499900,1856,,90,1,4,36,good
1715320,Gaylord,1027,2,3,81500,1920,1989,10,1,0,56,good
1715264,Salem,1044,2,3,322000,1648,2007,10,1,2,35,good
1714338,Plain City,1048,4,5,399900,3538,2006,10,1,4,35,good
1714327,Alta,1048,3,4,3900000,3076,1993,10,1,,45,good
1712580,Cumberland,1049,4,5,289900,5078,1940,50,1,8,38,awesome
1710876,Salina,1011,3,3,219900,2368,1997,10,1,,30,good
1710858,Sumter,1031,2,3,172000,1893,1998,10,1,2,30,good
1707204,Chippewa Falls,1033,1,2,80000,768,1920,10,1,,7,good
1705998,TAMPA,1001,2,4,399999,2008,2000,10,1,2,50,awesome
1699289,Richmond,1021,2,3,237500,2160,1820,10,1,,35,awesome
1696423,THE VILLAGES,1001,2,3,239000,1490,2004,10,1,2,50,awesome
1695316,Dundee,1027,2,3,235000,1600,1978,10,1,,34,awesome
1693196,Great Falls,1036,9,7,1999999,,1988,10,1,,30,good
1693163,Mclean,1036,5,4,972000,,1973,10,1,,31,good
1692810,RESTON,1036,5,5,879000,,1988,10,1,,29,awesome
1691728,Miami,1001,3,2,1800,1206,2003,20,1,,30,good
1690631,Hoboken,1032,2,2,3600,1121,,50,2,1,15,good
1690060,Springfield,1000,3,3,159900,2300,1976,10,1,2,23,good
1689239,Henderson,1003,4,3,545000,2368,2006,10,1,,39,good
1688804,El Paso,1005,2,3,1195,1813,,50,2,,22,good
1684558,Columbus,1018,3,2,149900,1248,1985,20,1,1,28,awesome
1679791,FORT MYERS,1001,2,3,343900,1798,2005,10,1,2,20,good
1679717,Dallas,1013,4,5,330000,3346,2008,10,1,,24,good
1674317,Canton,1027,2,2,1650,1730,2002,20,2,,8,good
1654337,Hialeah,1001,2,4,2275,,1988,10,2,0,23,good
1644725,Max Meadows,1036,3,3,99900,1584,1985,120,1,0,27,good
1644384,Gold Hill,1044,0,0,350000,1782,,50,1,0,35,awesome
1643731,Staten Island,1007,3,3,2700,2200,,60,2,,27,good
1642593,Kelso,1037,3,4,279500,2167,1955,10,1,,22,good
1642496,Vancouver,1037,3,5,339900,2114,1995,10,1,,29,good
1639184,CLEARWATER,1001,2,2,174900,1353,1957,10,1,1,40,awesome
